               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080478,            0.018654,            0.034178,          0.00099173,             0.31911,          0.00071237,          0.00016303,            0.061935,           0.0068103,            0.025948,            0.070027,           0.0033303,           0.0033303
                   1,            0.073571,            0.016294,            0.032457,           0.0010991,             0.43213,            0.017315,           0.0057569,            0.057432,           0.0073928,            0.025489,            0.039994,           0.0066306,           0.0066306
                   2,            0.065545,            0.016655,            0.031982,           0.0022295,             0.65872,            0.012743,           0.0039388,            0.049967,            0.007602,            0.024323,           0.0099284,            0.009898,            0.009898
                   3,            0.058027,            0.016489,            0.030246,             0.21654,             0.15038,             0.10343,            0.035889,            0.039125,           0.0074807,            0.019347,           0.0098515,           0.0098515,           0.0098515
                   4,            0.052685,            0.016116,            0.028308,             0.35436,             0.23959,             0.24186,             0.11268,            0.034575,           0.0069588,            0.016736,           0.0098515,           0.0098515,           0.0098515
                   5,            0.048097,            0.015712,            0.025455,             0.44267,             0.37795,             0.35697,             0.16884,            0.031798,            0.006616,            0.015171,            0.009802,            0.009802,            0.009802
                   6,            0.045564,            0.015067,            0.023199,              0.5352,              0.4407,             0.45516,             0.23226,            0.030422,           0.0065883,            0.014655,           0.0097525,           0.0097525,           0.0097525
                   7,            0.042863,            0.014523,            0.021557,             0.70039,             0.51752,             0.61057,              0.3324,            0.025952,           0.0059786,            0.013257,            0.009703,            0.009703,            0.009703
                   8,            0.041757,            0.013916,            0.020297,             0.64748,             0.57761,             0.61922,             0.33718,            0.026075,           0.0054661,            0.013427,           0.0096535,           0.0096535,           0.0096535
                   9,             0.03991,            0.013296,            0.018448,             0.72992,             0.57462,             0.68438,              0.3846,            0.025524,           0.0051411,            0.013254,            0.009604,            0.009604,            0.009604
                  10,            0.038196,            0.012919,            0.017374,             0.75255,             0.68092,             0.75353,             0.43674,             0.02382,           0.0052019,           0.0099154,           0.0095545,           0.0095545,           0.0095545
                  11,            0.037537,            0.012375,             0.01672,             0.71905,             0.66388,             0.72699,             0.44085,            0.023669,           0.0048849,            0.011907,            0.009505,            0.009505,            0.009505
                  12,            0.036494,            0.012169,            0.015705,             0.76039,             0.65666,             0.73745,             0.44239,            0.023378,           0.0047244,            0.012335,           0.0094555,           0.0094555,           0.0094555
                  13,            0.035557,            0.011657,            0.014799,             0.78375,              0.6893,             0.79708,             0.50116,            0.021536,            0.004465,           0.0087463,            0.009406,            0.009406,            0.009406
                  14,            0.034595,            0.011516,            0.014107,              0.8244,             0.74068,             0.80878,             0.51933,            0.020911,           0.0043166,            0.010143,           0.0093565,           0.0093565,           0.0093565
                  15,             0.03385,            0.011241,             0.01345,             0.78409,             0.78822,             0.83042,             0.54077,            0.021388,           0.0043002,           0.0073923,            0.009307,            0.009307,            0.009307
                  16,            0.033492,             0.01117,            0.013466,             0.83171,             0.75985,             0.83233,             0.53972,             0.02227,           0.0040541,           0.0093295,           0.0092575,           0.0092575,           0.0092575
                  17,            0.033349,             0.01095,            0.012904,             0.82086,             0.81513,             0.85606,             0.57034,            0.021097,           0.0039877,           0.0085167,            0.009208,            0.009208,            0.009208
