                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.077,                 4.7573,                 3.9322,                0.01367,                0.40222,                0.01741,                0.00501,                 2.5973,                 4.1744,                   3.42,              0.0033298,              0.0033298,              0.0033298
                      2,                 2.2658,                 3.5927,                 2.8763,                0.31028,                0.32378,                0.16541,                0.07516,                 2.0233,                 3.5602,                 2.6139,              0.0065971,              0.0065971,              0.0065971
                      3,                 1.8849,                  2.947,                 2.4103,                0.32573,                0.31385,                0.26791,                 0.1291,                 1.8931,                 2.6204,                 2.4582,              0.0097985,              0.0097985,              0.0097985
                      4,                 1.7493,                 2.5901,                 2.2389,                0.49976,                0.54472,                0.51707,                0.25232,                  1.764,                 2.1874,                 2.2745,               0.009703,               0.009703,               0.009703
                      5,                 1.6374,                 2.3352,                 2.1303,                0.59285,                0.57939,                0.61136,                0.25923,                 1.8247,                 1.8005,                 2.2832,               0.009703,               0.009703,               0.009703
                      6,                 1.5689,                 2.1148,                 2.0482,                0.73091,                0.66685,                0.74462,                 0.4032,                  1.619,                 1.5053,                 2.0499,               0.009604,               0.009604,               0.009604
                      7,                 1.5139,                 1.9764,                 1.9751,                0.75356,                0.71455,                0.79196,                0.42864,                 1.5545,                 1.4169,                 1.9354,               0.009505,               0.009505,               0.009505
                      8,                 1.4799,                 1.8536,                 1.9322,                0.77232,                0.73971,                0.80593,                0.42784,                 1.6331,                 1.3996,                 2.0019,               0.009406,               0.009406,               0.009406
                      9,                 1.4364,                 1.7486,                 1.8806,                0.74759,                0.74428,                0.78691,                0.38214,                 1.7745,                 1.4392,                 2.1362,               0.009307,               0.009307,               0.009307
                     10,                 1.4065,                 1.6544,                 1.8378,                0.79924,                0.75892,                0.83336,                0.43915,                 1.6851,                 1.2607,                 2.0117,               0.009208,               0.009208,               0.009208
                     11,                 1.3757,                 1.5812,                 1.8124,                 0.8596,                0.79593,                0.86396,                0.49899,                 1.4934,                 1.1518,                 1.8106,               0.009109,               0.009109,               0.009109
                     12,                 1.3564,                 1.5495,                 1.7833,                0.86485,                0.82921,                0.89226,                0.47439,                 1.6346,                 1.1376,                 1.9029,                0.00901,                0.00901,                0.00901
                     13,                  1.339,                 1.4753,                 1.7701,                0.88643,                0.84029,                0.90172,                0.49184,                  1.633,                 1.0027,                 1.9276,               0.008911,               0.008911,               0.008911
                     14,                  1.304,                 1.4111,                 1.7285,                 0.8814,                0.83816,                0.91128,                0.53191,                  1.492,                0.94032,                 1.8028,               0.008812,               0.008812,               0.008812
                     15,                 1.2938,                 1.3668,                 1.7166,                0.88874,                0.83567,                0.90988,                0.54604,                 1.4344,                0.95129,                 1.7223,               0.008713,               0.008713,               0.008713
                     16,                 1.2793,                 1.3421,                 1.6942,                0.89378,                0.86269,                 0.9088,                0.52087,                 1.5189,                0.91734,                 1.8172,               0.008614,               0.008614,               0.008614
                     17,                 1.2605,                 1.2874,                 1.6685,                0.89908,                0.87012,                0.91851,                0.54269,                 1.4613,                0.90774,                 1.7293,               0.008515,               0.008515,               0.008515
