                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.077,                 4.7573,                 3.9322,                0.01367,                0.40222,                0.01741,                0.00501,                 2.5973,                 4.1744,                   3.42,              0.0033298,              0.0033298,              0.0033298
                      2,                 2.2721,                  3.612,                 2.8814,                 0.1725,                0.26969,                  0.133,                0.05872,                 2.0048,                 2.9903,                 2.5717,              0.0066191,              0.0066191,              0.0066191
                      3,                 1.8821,                 2.9646,                 2.4151,                0.36137,                0.41574,                0.35045,                0.16931,                 1.8459,                 2.5112,                 2.3826,              0.0098645,              0.0098645,              0.0098645
                      4,                 1.7474,                 2.6239,                 2.2485,                0.44111,                0.48615,                 0.4498,                 0.2183,                 1.7026,                 2.2234,                 2.1735,               0.009802,               0.009802,               0.009802
                      5,                 1.6395,                 2.3402,                 2.1281,                0.64483,                0.50836,                0.61196,                0.29349,                 1.7426,                 1.8304,                 2.1628,               0.009802,               0.009802,               0.009802
                      6,                 1.5603,                 2.1168,                 2.0351,                0.67833,                0.65085,                 0.7166,                0.38994,                 1.6354,                 1.5226,                 2.0733,               0.009736,               0.009736,               0.009736
                      7,                  1.512,                 1.9808,                 1.9679,                0.73461,                0.67932,                0.76446,                0.41038,                 1.5698,                 1.4215,                 1.9362,                0.00967,                0.00967,                0.00967
                      8,                 1.4759,                 1.8507,                 1.9324,                0.74067,                0.72588,                0.78978,                0.44077,                   1.54,                 1.3188,                 1.9323,               0.009604,               0.009604,               0.009604
                      9,                 1.4382,                 1.7395,                 1.8836,                0.74123,                0.75342,                0.80634,                0.40779,                 1.6643,                 1.3212,                  2.034,               0.009538,               0.009538,               0.009538
                     10,                 1.4097,                 1.6621,                 1.8473,                0.76684,                0.81981,                0.84328,                0.45857,                 1.5732,                 1.2063,                 1.9168,               0.009472,               0.009472,               0.009472
                     11,                 1.3833,                 1.5737,                 1.8201,                0.83655,                0.80128,                0.85747,                0.50041,                 1.5517,                 1.1639,                 1.8722,               0.009406,               0.009406,               0.009406
                     12,                 1.3622,                 1.5427,                 1.7914,                0.85133,                0.79787,                0.87141,                0.49087,                  1.536,                 1.0769,                 1.8382,                0.00934,                0.00934,                0.00934
                     13,                 1.3397,                 1.4824,                 1.7716,                0.84657,                0.83065,                0.88915,                0.49584,                 1.5246,                 1.0396,                 1.8285,               0.009274,               0.009274,               0.009274
                     14,                 1.3213,                 1.4288,                 1.7515,                 0.8892,                0.81825,                0.89747,                0.52498,                  1.481,                0.95635,                 1.7767,               0.009208,               0.009208,               0.009208
                     15,                 1.2952,                  1.372,                  1.726,                0.87873,                0.83205,                 0.9084,                0.54588,                 1.4419,                0.90083,                 1.7451,               0.009142,               0.009142,               0.009142
                     16,                 1.2797,                 1.3431,                 1.7075,                0.91193,                0.86887,                 0.9205,                0.53232,                 1.5226,                 0.9357,                  1.799,               0.009076,               0.009076,               0.009076
                     17,                 1.2643,                 1.3042,                  1.677,                0.91211,                0.84716,                0.91773,                0.55701,                 1.3948,                0.89179,                 1.6757,                0.00901,                0.00901,                0.00901
                     18,                 1.2508,                  1.285,                 1.6727,                0.89633,                0.86493,                0.91743,                0.55197,                  1.457,                0.88635,                 1.7231,               0.008944,               0.008944,               0.008944
                     19,                 1.2416,                 1.2642,                 1.6618,                0.91613,                0.87044,                0.91704,                0.55806,                 1.4066,                  0.838,                 1.6945,               0.008878,               0.008878,               0.008878
                     20,                  1.226,                 1.2201,                 1.6476,                0.92704,                0.86042,                0.92387,                 0.5827,                 1.3508,                0.84591,                 1.6648,               0.008812,               0.008812,               0.008812
                     21,                 1.2111,                 1.1972,                 1.6361,                0.94133,                0.87625,                 0.9397,                 0.5762,                 1.4259,                0.77309,                 1.7064,               0.008746,               0.008746,               0.008746
                     22,                 1.2057,                 1.1896,                 1.6248,                0.91352,                0.89384,                0.92803,                0.58091,                 1.3802,                0.78934,                   1.66,                0.00868,                0.00868,                0.00868
                     23,                 1.1894,                  1.165,                 1.6062,                0.94244,                0.87104,                0.93147,                0.60745,                 1.3062,                0.77114,                 1.5758,               0.008614,               0.008614,               0.008614
                     24,                 1.1814,                 1.1533,                 1.5984,                0.93317,                 0.9055,                 0.9309,                0.58033,                 1.3913,                0.77144,                 1.6411,               0.008548,               0.008548,               0.008548
                     25,                 1.1707,                 1.1349,                 1.5864,                0.93167,                0.89879,                0.93251,                0.59437,                 1.3473,                0.74314,                 1.6148,               0.008482,               0.008482,               0.008482
                     26,                 1.1601,                 1.1048,                 1.5708,                0.92774,                0.90514,                0.94183,                0.59533,                  1.347,                0.74076,                 1.6099,               0.008416,               0.008416,               0.008416
                     27,                 1.1527,                 1.0871,                 1.5584,                0.92993,                0.91025,                0.94248,                0.61168,                 1.3071,                0.72776,                 1.5625,                0.00835,                0.00835,                0.00835
                     28,                 1.1397,                 1.0667,                 1.5469,                0.94658,                0.90843,                0.94607,                0.60477,                 1.3184,                0.70272,                 1.6017,               0.008284,               0.008284,               0.008284
                     29,                 1.1351,                 1.0721,                 1.5441,                0.94521,                0.90786,                0.94364,                0.62152,                 1.2755,                0.68404,                 1.5562,               0.008218,               0.008218,               0.008218
                     30,                 1.1178,                 1.0467,                 1.5281,                0.94089,                0.91429,                0.94476,                0.62434,                 1.3002,                0.69511,                 1.5707,               0.008152,               0.008152,               0.008152
                     31,                 1.1072,                 1.0285,                 1.5119,                0.93864,                0.92126,                0.94479,                0.63684,                 1.2502,                0.67266,                 1.5234,               0.008086,               0.008086,               0.008086
