                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4235,                 3.8076,                 1.7403,                0.59085,                0.69518,                0.68646,                0.50015,                 1.0335,                 2.9053,                 1.2447,             0.00040972,             0.00040972,             0.00040972
                      2,                 1.1998,                 2.3858,                 1.4693,                0.78994,                0.77648,                 0.8182,                0.59812,                  0.914,                 1.7597,                 1.1574,             0.00081821,             0.00081821,             0.00081821
                      3,                 1.1946,                  1.898,                 1.4986,                0.76753,                0.88889,                0.87596,                0.63038,                0.90471,                 1.3982,                 1.1597,              0.0012184,              0.0012184,              0.0012184
                      4,                 1.1407,                 1.5397,                 1.4743,                0.88204,                0.87712,                0.93571,                0.73398,                0.77459,                0.92841,                  1.152,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.0589,                 1.3984,                 1.4063,                0.86752,                0.88669,                0.90868,                0.71057,                0.83373,                0.88427,                 1.1825,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.0809,                 1.3054,                 1.4075,                0.89287,                0.84575,                0.91435,                0.69305,                 0.8216,                0.84671,                 1.2127,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.0933,                 1.2383,                 1.4053,                0.86953,                0.86476,                0.91472,                0.73759,                0.74132,                0.78883,                 1.1494,              0.0011881,              0.0011881,              0.0011881
                      8,                  1.005,                 1.1481,                 1.3387,                0.90563,                0.87908,                0.94873,                0.74988,                0.78859,                0.65627,                 1.1722,              0.0011757,              0.0011757,              0.0011757
                      9,                0.98341,                 1.0781,                 1.3392,                0.80292,                0.92405,                0.90306,                0.70839,                0.72167,                0.71622,                 1.1476,              0.0011634,              0.0011634,              0.0011634
                     10,                0.97589,                 1.0178,                  1.315,                0.83371,                0.88889,                0.90651,                0.73632,                0.73912,                0.70189,                  1.167,               0.001151,               0.001151,               0.001151
                     11,                0.97614,                 1.0122,                 1.3182,                0.86647,                0.88286,                0.93283,                0.76306,                0.75967,                 0.6624,                 1.1624,              0.0011386,              0.0011386,              0.0011386
                     12,                0.94172,                0.95997,                  1.299,                0.81606,                0.91111,                0.91829,                 0.7513,                0.72395,                0.68472,                 1.1304,              0.0011263,              0.0011263,              0.0011263
                     13,                0.97435,                0.96666,                 1.3078,                 0.8941,                0.87579,                 0.9238,                0.73835,                0.81748,                0.67222,                 1.2006,              0.0011139,              0.0011139,              0.0011139
                     14,                0.94247,                0.96039,                 1.2789,                0.91426,                0.90215,                0.94959,                0.76021,                0.76863,                0.61545,                 1.1995,              0.0011015,              0.0011015,              0.0011015
                     15,                0.93329,                0.90432,                 1.2709,                0.90455,                0.90231,                0.91541,                0.74055,                0.75781,                0.64004,                 1.1685,              0.0010891,              0.0010891,              0.0010891
                     16,                 0.9179,                0.87302,                 1.2782,                 0.8545,                0.88889,                0.89296,                0.71588,                0.77131,                0.71927,                 1.1702,              0.0010768,              0.0010768,              0.0010768
                     17,                0.88331,                0.82517,                 1.2504,                0.83642,                0.91277,                 0.9075,                0.74085,                0.73439,                0.68142,                 1.1544,              0.0010644,              0.0010644,              0.0010644
                     18,                0.89843,                0.82436,                 1.2558,                0.90395,                0.91111,                0.93502,                0.73485,                0.79134,                0.59979,                 1.2052,               0.001052,               0.001052,               0.001052
                     19,                0.86058,                0.82265,                 1.2394,                0.80505,                0.91426,                0.90542,                0.72869,                0.76859,                0.64979,                 1.1771,              0.0010396,              0.0010396,              0.0010396
                     20,                0.89215,                 0.8439,                 1.2493,                0.89245,                 0.8788,                0.93438,                0.78775,                 0.6996,                0.59054,                 1.1369,              0.0010273,              0.0010273,              0.0010273
                     21,                0.86173,                0.78433,                 1.2405,                0.91284,                0.91003,                0.92817,                0.75204,                0.72777,                0.60968,                  1.165,              0.0010149,              0.0010149,              0.0010149
                     22,                0.87965,                0.77179,                 1.2454,                0.92336,                0.90131,                0.92859,                0.74904,                0.75766,                0.60173,                 1.1827,              0.0010025,              0.0010025,              0.0010025
                     23,                 0.8734,                0.78732,                 1.2412,                0.86899,                0.90521,                0.91815,                 0.7507,                0.71165,                0.58756,                 1.1517,             0.00099013,             0.00099013,             0.00099013
                     24,                0.84605,                0.76439,                 1.2133,                0.89022,                0.88936,                0.93351,                0.75554,                0.73116,                  0.577,                 1.1443,             0.00097775,             0.00097775,             0.00097775
