                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0618,                 4.9128,                 3.9122,                0.00149,                0.59041,                0.00939,                0.00266,                 2.5956,                  4.336,                 3.4209,                0.00333,                0.00333,                0.00333
                      2,                 2.2082,                 3.6688,                 2.8196,                0.37033,                0.15206,                0.07789,                 0.0322,                 2.0378,                 3.2038,                 2.6611,              0.0065974,              0.0065974,              0.0065974
                      3,                 1.8791,                  3.065,                 2.4242,                0.47506,                0.31446,                0.22386,                0.10401,                 1.8376,                 2.5022,                  2.351,              0.0097988,              0.0097988,              0.0097988
                      4,                  1.736,                 2.6674,                 2.2337,                0.66303,                0.29809,                0.35156,                0.17353,                 1.6627,                 2.4148,                 2.1888,               0.009703,               0.009703,               0.009703
                      5,                 1.6468,                 2.3847,                 2.1126,                0.72285,                0.37423,                0.47135,                0.24968,                 1.6374,                 1.8825,                 2.1034,               0.009703,               0.009703,               0.009703
                      6,                 1.5729,                 2.1677,                 2.0288,                0.43406,                0.47372,                 0.5266,                0.27884,                 1.6838,                 1.7388,                 2.0637,               0.009604,               0.009604,               0.009604
                      7,                  1.523,                   2.03,                 1.9748,                0.47817,                0.56822,                0.56362,                0.31185,                 1.5872,                 1.5849,                 1.9912,               0.009505,               0.009505,               0.009505
                      8,                 1.4914,                 1.9043,                 1.9369,                0.61318,                0.66797,                0.68507,                0.35148,                 1.6634,                 1.4248,                 2.0522,               0.009406,               0.009406,               0.009406
                      9,                 1.4524,                 1.8137,                 1.8855,                0.82742,                0.60542,                0.69388,                0.39571,                 1.5404,                 1.2395,                 1.8853,               0.009307,               0.009307,               0.009307
                     10,                 1.4163,                 1.7058,                 1.8525,                0.82931,                0.65525,                0.73496,                0.40039,                 1.5442,                 1.2647,                 1.9396,               0.009208,               0.009208,               0.009208
                     11,                 1.3878,                 1.6336,                 1.8212,                0.69947,                0.64315,                0.70813,                 0.4067,                 1.4904,                 1.2157,                 1.8562,               0.009109,               0.009109,               0.009109
                     12,                 1.3618,                 1.5599,                 1.7946,                0.71962,                0.67907,                0.74615,                0.42897,                 1.4751,                 1.1436,                 1.8255,                0.00901,                0.00901,                0.00901
                     13,                 1.3349,                 1.4953,                 1.7613,                0.87003,                 0.6685,                 0.7903,                0.44716,                 1.5172,                 1.0684,                 1.8346,               0.008911,               0.008911,               0.008911
                     14,                 1.3298,                 1.4573,                 1.7552,                 0.7363,                0.72656,                0.78948,                0.47158,                 1.4281,                0.99221,                 1.8137,               0.008812,               0.008812,               0.008812
                     15,                 1.3014,                 1.4107,                 1.7183,                0.81693,                0.77696,                0.82201,                0.50163,                 1.4257,                0.99553,                 1.7605,               0.008713,               0.008713,               0.008713
                     16,                 1.2885,                 1.3757,                 1.7055,                0.83135,                0.75934,                0.80556,                0.52754,                 1.3063,                0.89357,                 1.6596,               0.008614,               0.008614,               0.008614
                     17,                 1.2739,                 1.3481,                 1.6908,                0.84007,                0.74121,                 0.8096,                0.50641,                 1.3707,                0.89682,                 1.7079,               0.008515,               0.008515,               0.008515
                     18,                 1.2514,                  1.308,                 1.6712,                0.82475,                0.73439,                0.82829,                0.52154,                 1.3629,                0.88205,                 1.6906,               0.008416,               0.008416,               0.008416
                     19,                 1.2438,                 1.2854,                   1.66,                0.80518,                0.76734,                0.81238,                0.50845,                 1.3923,                0.86456,                 1.7472,               0.008317,               0.008317,               0.008317
                     20,                 1.2319,                 1.2595,                  1.643,                0.84582,                0.78559,                0.84212,                0.53583,                  1.366,                0.86726,                 1.6739,               0.008218,               0.008218,               0.008218
                     21,                 1.2266,                 1.2444,                 1.6361,                0.88281,                0.75921,                0.84127,                0.53747,                 1.3198,                0.80853,                 1.6297,               0.008119,               0.008119,               0.008119
                     22,                 1.2071,                 1.1967,                 1.6059,                0.88513,                0.78095,                 0.8439,                0.53459,                 1.3262,                0.80701,                 1.6223,                0.00802,                0.00802,                0.00802
                     23,                 1.1945,                 1.1843,                 1.5993,                0.87832,                0.79866,                0.85007,                0.56614,                  1.239,                0.76588,                 1.5721,               0.007921,               0.007921,               0.007921
                     24,                 1.1782,                 1.1654,                  1.581,                 0.8245,                0.86548,                0.86992,                0.57421,                 1.2606,                0.73793,                 1.5878,               0.007822,               0.007822,               0.007822
                     25,                 1.1747,                 1.1541,                 1.5766,                0.85143,                0.81707,                0.85423,                0.56827,                 1.2664,                0.74624,                 1.6035,               0.007723,               0.007723,               0.007723
                     26,                 1.1579,                 1.1208,                 1.5607,                0.87707,                0.80747,                0.84882,                0.57296,                 1.2305,                0.74365,                 1.5645,               0.007624,               0.007624,               0.007624
                     27,                 1.1523,                  1.117,                 1.5571,                0.88984,                0.78587,                 0.8614,                 0.5899,                 1.2322,                0.73957,                 1.5722,               0.007525,               0.007525,               0.007525
                     28,                 1.1482,                 1.1036,                 1.5482,                0.89735,                0.84133,                0.87653,                0.58405,                  1.238,                0.71731,                 1.5639,               0.007426,               0.007426,               0.007426
                     29,                 1.1415,                 1.0678,                 1.5385,                0.90442,                0.81743,                0.87958,                0.58831,                 1.2119,                0.70783,                 1.5438,               0.007327,               0.007327,               0.007327
                     30,                 1.1263,                 1.0623,                 1.5221,                0.84216,                0.81853,                0.87407,                0.57431,                 1.2723,                0.72741,                 1.5818,               0.007228,               0.007228,               0.007228
                     31,                 1.1167,                  1.048,                 1.5095,                 0.8791,                0.80952,                0.87353,                0.59397,                 1.1944,                0.71564,                 1.5272,               0.007129,               0.007129,               0.007129
                     32,                 1.1093,                 1.0349,                  1.505,                0.90319,                0.79576,                0.87136,                 0.5962,                 1.1791,                0.67138,                 1.5161,                0.00703,                0.00703,                0.00703
                     33,                 1.0991,                  1.015,                  1.494,                0.89628,                0.83676,                 0.8717,                0.59774,                 1.1783,                0.68263,                 1.5092,               0.006931,               0.006931,               0.006931
